Ind.,Individual,Side,Rep,ValueFWAF
8,A,I,1,4.9
8,A,I,2,4.86
8,A,I,3,4.93
8,A,D,1,4.84
8,A,D,2,4.84
8,A,D,3,4.85
22,B,I,1,4.37
22,B,I,2,4.31
22,B,I,3,4.34
22,B,D,1,4.35
22,B,D,2,4.33
22,B,D,3,4.36
29,C,I,1,5.39
29,C,I,2,5.34
29,C,I,3,5.33
29,C,D,1,5.3
29,C,D,2,5.39
29,C,D,3,5.35
30,D,I,1,5.49
30,D,I,2,5.47
30,D,I,3,5.49
30,D,D,1,5.47
30,D,D,2,5.42
30,D,D,3,5.44
39,E,I,1,5
39,E,I,2,4.91
39,E,I,3,4.93
39,E,D,1,4.89
39,E,D,2,4.9
39,E,D,3,4.8
55,F,I,1,5.19
55,F,I,2,5.2
55,F,I,3,5.21
55,F,D,1,5.19
55,F,D,2,5.15
55,F,D,3,5.16
69,G,I,1,4.5
69,G,I,2,4.53
69,G,I,3,4.51
69,G,D,1,4.54
69,G,D,2,4.52
69,G,D,3,4.51
70,H,I,1,4.96
70,H,I,2,4.94
70,H,I,3,4.94
70,H,D,1,4.95
70,H,D,2,4.91
70,H,D,3,4.94
72,I,I,1,5.14
72,I,I,2,5.1
72,I,I,3,5.1
72,I,D,1,5.25
72,I,D,2,5.27
72,I,D,3,5.28
76,J,I,1,5.53
76,J,I,2,5.57
76,J,I,3,5.54
76,J,D,1,5.67
76,J,D,2,5.78
76,J,D,3,5.73
78,K,I,1,6.68
78,K,I,2,6.7
78,K,I,3,6.68
78,K,D,1,6.64
78,K,D,2,6.68
78,K,D,3,6.67
82,L,I,1,5.01
82,L,I,2,4.96
82,L,I,3,4.95
82,L,D,1,4.85
82,L,D,2,4.81
82,L,D,3,4.8
83,M,I,1,4.63
83,M,I,2,4.65
83,M,I,3,4.64
83,M,D,1,4.67
83,M,D,2,4.63
83,M,D,3,4.65
87,N,I,1,6.29
87,N,I,2,6.32
87,N,I,3,6.31
87,N,D,1,6.27
87,N,D,2,6.27
87,N,D,3,6.23
104,O,I,1,5.32
104,O,I,2,5.41
104,O,I,3,5.41
104,O,D,1,5.36
104,O,D,2,5.35
104,O,D,3,5.35
109,P,I,1,5.84
109,P,I,2,5.87
109,P,I,3,5.89
109,P,D,1,5.59
109,P,D,2,5.58
109,P,D,3,5.57
110,Q,I,1,6
110,Q,I,2,6
110,Q,I,3,6
110,Q,D,1,5.83
110,Q,D,2,5.89
110,Q,D,3,5.94
121,R,I,1,5.47
121,R,I,2,5.48
121,R,I,3,5.46
121,R,D,1,5.33
121,R,D,2,5.33
121,R,D,3,5.38
125,S,I,1,5.22
125,S,I,2,5.23
125,S,I,3,5.24
125,S,D,1,5.25
125,S,D,2,5.26
125,S,D,3,5.27
128,T,I,1,5.55
128,T,I,2,5.54
128,T,I,3,5.55
128,T,D,1,5.48
128,T,D,2,5.52
128,T,D,3,5.53
129,U,I,1,5.83
129,U,I,2,5.72
129,U,I,3,5.75
129,U,D,1,5.81
129,U,D,2,5.77
129,U,D,3,5.79
134,V,I,1,4.8
134,V,I,2,3.79
134,V,I,3,3.77
134,V,D,1,4.72
134,V,D,2,4.73
134,V,D,3,4.72
137,W,I,1,4.92
137,W,I,2,4.82
137,W,I,3,4.83
137,W,D,1,4.8
137,W,D,2,4.89
137,W,D,3,4.9
138,X,I,1,5.34
138,X,I,2,5.3
138,X,I,3,5.32
138,X,D,1,5.32
138,X,D,2,5.35
138,X,D,3,5.34
141,Y,I,1,4.98
141,Y,I,2,4.99
141,Y,I,3,5
141,Y,D,1,4.97
141,Y,D,2,5.02
141,Y,D,3,5.01
142,Z,I,1,5.39
142,Z,I,2,5.4
142,Z,I,3,5.37
142,Z,D,1,5.32
142,Z,D,2,5.35
142,Z,D,3,5.36
145,AA,I,1,4.62
145,AA,I,2,4.64
145,AA,I,3,4.64
145,AA,D,1,4.57
145,AA,D,2,4.55
145,AA,D,3,4.56
146,BB,I,1,4.82
146,BB,I,2,4.81
146,BB,I,3,4.82
146,BB,D,1,4.86
146,BB,D,2,4.88
146,BB,D,3,4.87
