Indiv,Individual,Side,Rep,Value
10,A,I,1,0.4
10,A,I,2,0.43
10,A,I,3,0.43
10,A,D,1,0.4
10,A,D,2,0.43
10,A,D,3,0.43
13,B,I,1,0.47
13,B,I,2,0.46
13,B,I,3,0.47
13,B,D,1,0.45
13,B,D,2,0.45
13,B,D,3,0.45
14,C,I,1,0.43
14,C,I,2,0.43
14,C,I,3,0.43
14,C,D,1,0.44
14,C,D,2,0.44
14,C,D,3,0.42
17,D,I,1,0.44
17,D,I,2,0.42
17,D,I,3,0.42
17,D,D,1,0.43
17,D,D,2,0.42
17,D,D,3,0.41
21,E,I,1,0.44
21,E,I,2,0.44
21,E,I,3,0.44
21,E,D,1,0.45
21,E,D,2,0.44
21,E,D,3,0.46
24,F,I,1,0.43
24,F,I,2,0.43
24,F,I,3,0.43
24,F,D,1,0.43
24,F,D,2,0.43
24,F,D,3,0.43
31,G,I,1,0.41
31,G,I,2,0.42
31,G,I,3,0.42
31,G,D,1,0.43
31,G,D,2,0.43
31,G,D,3,0.43
35,H,I,1,0.46
35,H,I,2,0.46
35,H,I,3,0.46
35,H,D,1,0.46
35,H,D,2,0.46
35,H,D,3,0.46
37,I,I,1,0.39
37,I,I,2,0.38
37,I,I,3,0.37
37,I,D,1,0.38
37,I,D,2,0.37
37,I,D,3,0.36
38,J,I,1,0.49
38,J,I,2,0.49
38,J,I,3,0.49
38,J,D,1,0.45
38,J,D,2,0.45
38,J,D,3,0.46
40,K,I,1,0.49
40,K,I,2,0.49
40,K,I,3,0.48
40,K,D,1,0.42
40,K,D,2,0.49
40,K,D,3,0.49
42,L,I,1,0.42
42,L,I,2,0.42
42,L,I,3,0.41
42,L,D,1,0.44
42,L,D,2,0.43
42,L,D,3,0.44
46,M,I,1,0.49
46,M,I,2,0.49
46,M,I,3,0.48
46,M,D,1,0.48
46,M,D,2,0.5
46,M,D,3,0.49
47,N,I,1,0.43
47,N,I,2,0.41
47,N,I,3,0.43
47,N,D,1,0.46
47,N,D,2,0.45
47,N,D,3,0.46
50,O,I,1,0.39
50,O,I,2,0.4
50,O,I,3,0.4
50,O,D,1,0.39
50,O,D,2,0.4
50,O,D,3,0.4
57,P,I,1,0.49
57,P,I,2,0.49
57,P,I,3,0.49
57,P,D,1,0.49
57,P,D,2,0.5
57,P,D,3,0.5
62,Q,I,1,0.45
62,Q,I,2,0.45
62,Q,I,3,0.45
62,Q,D,1,0.46
62,Q,D,2,0.47
62,Q,D,3,0.46
64,R,I,1,0.46
64,R,I,2,0.46
64,R,I,3,0.46
64,R,D,1,0.46
64,R,D,2,0.47
64,R,D,3,0.46
68,S,I,1,0.48
68,S,I,2,0.49
68,S,I,3,0.49
68,S,D,1,0.49
68,S,D,2,0.47
68,S,D,3,0.48
80,T,I,1,0.46
80,T,I,2,0.45
80,T,I,3,0.45
80,T,D,1,0.45
80,T,D,2,0.45
80,T,D,3,0.45
86,U,I,1,0.5
86,U,I,2,0.5
86,U,I,3,0.5
86,U,D,1,0.51
86,U,D,2,0.5
86,U,D,3,0.5
107,V,I,1,0.46
107,V,I,2,0.46
107,V,I,3,0.47
107,V,D,1,0.49
107,V,D,2,0.48
107,V,D,3,0.46
117,W,I,1,0.47
117,W,I,2,0.46
117,W,I,3,0.45
117,W,D,1,0.48
117,W,D,2,0.47
117,W,D,3,0.48
124,X,I,1,0.45
124,X,I,2,0.45
124,X,I,3,0.46
124,X,D,1,0.47
124,X,D,2,0.47
124,X,D,3,0.46
127,Y,I,1,0.47
127,Y,I,2,0.48
127,Y,I,3,0.46
127,Y,D,1,0.51
127,Y,D,2,0.54
127,Y,D,3,0.54
131,Z,I,1,0.4
131,Z,I,2,0.41
131,Z,I,3,0.41
131,Z,D,1,0.41
131,Z,D,2,0.41
131,Z,D,3,0.4
135,AA,I,1,0.48
135,AA,I,2,0.5
135,AA,I,3,0.5
135,AA,D,1,0.5
135,AA,D,2,0.48
135,AA,D,3,0.49
136,BB,I,1,0.44
136,BB,I,2,0.43
136,BB,I,3,0.43
136,BB,D,1,0.43
136,BB,D,2,0.43
136,BB,D,3,0.42
139,CC,I,1,0.47
139,CC,I,2,0.46
139,CC,I,3,0.47
139,CC,D,1,0.46
139,CC,D,2,0.47
139,CC,D,3,0.47
140,DD,I,1,0.44
140,DD,I,2,0.44
140,DD,I,3,0.44
140,DD,D,1,0.44
140,DD,D,2,0.45
140,DD,D,3,0.45
