Individual,Side,Rep,ValueHWLM
4,I,1,0.75
4,I,2,0.76
4,I,3,0.75
4,D,1,0.75
4,D,2,0.75
4,D,3,0.75
5,I,1,0.6
5,I,2,0.6
5,I,3,0.6
5,D,1,0.68
5,D,2,0.67
5,D,3,0.68
6,I,1,0.62
6,I,2,0.64
6,I,3,0.64
6,D,1,0.61
6,D,2,0.64
6,D,3,0.64
54,I,1,0.6
54,I,2,0.59
54,I,3,0.6
54,D,1,0.59
54,D,2,0.59
54,D,3,0.59
56,I,1,0.66
56,I,2,0.68
56,I,3,0.67
56,D,1,0.68
56,D,2,0.68
56,D,3,0.68
57,I,1,0.72
57,I,2,0.72
57,I,3,0.72
57,D,1,0.68
57,D,2,0.71
57,D,3,0.71
60,I,1,0.66
60,I,2,0.66
60,I,3,0.67
60,D,1,0.69
60,D,2,0.7
60,D,3,0.7
63,I,1,0.62
63,I,2,0.61
63,I,3,0.61
63,D,1,0.62
63,D,2,0.61
63,D,3,0.62
64,I,1,0.59
64,I,2,0.59
64,I,3,0.58
64,D,1,0.59
64,D,2,0.59
64,D,3,0.59
66,I,1,0.63
66,I,2,0.61
66,I,3,0.62
66,D,1,0.6
66,D,2,0.61
66,D,3,0.61
67,I,1,0.61
67,I,2,0.61
67,I,3,0.61
67,D,1,0.61
67,D,2,0.59
67,D,3,0.6
68,I,1,0.55
68,I,2,0.58
68,I,3,0.57
68,D,1,0.58
68,D,2,0.58
68,D,3,0.57
85,I,1,0.65
85,I,2,0.65
85,I,3,0.66
85,D,1,0.67
85,D,2,0.66
85,D,3,0.66
94,I,1,0.56
94,I,2,0.56
94,I,3,0.57
94,D,1,0.55
94,D,2,0.56
94,D,3,0.57
98,I,1,0.58
98,I,2,0.58
98,I,3,0.57
98,D,1,0.58
98,D,2,0.57
98,D,3,0.58
107,I,1,0.59
107,I,2,0.59
107,I,3,0.59
107,D,1,0.58
107,D,2,0.58
107,D,3,0.57
114,I,1,0.61
114,I,2,0.61
114,I,3,0.6
114,D,1,0.6
114,D,2,0.6
114,D,3,0.6
117,I,1,0.62
117,I,2,0.61
117,I,3,0.65
117,D,1,0.65
117,D,2,0.65
117,D,3,0.65
118,I,1,0.61
118,I,2,0.61
118,I,3,0.61
118,D,1,0.62
118,D,2,0.61
118,D,3,0.6
120,I,1,0.63
120,I,2,0.62
120,I,3,0.62
120,D,1,0.65
120,D,2,0.64
120,D,3,0.63
126,I,1,0.68
126,I,2,0.68
126,I,3,0.68
126,D,1,0.67
126,D,2,0.67
126,D,3,0.68
127,I,1,0.63
127,I,2,0.63
127,I,3,0.62
127,D,1,0.63
127,D,2,0.63
127,D,3,0.64
131,I,1,0.57
131,I,2,0.57
131,I,3,0.58
131,D,1,0.59
131,D,2,0.59
131,D,3,0.58
132,I,1,0.52
132,I,2,0.52
132,I,3,0.52
132,D,1,0.55
132,D,2,0.54
132,D,3,0.53
139,I,1,0.62
139,I,2,0.62
139,I,3,0.62
139,D,1,0.61
139,D,2,0.61
139,D,3,0.62
140,I,1,0.65
140,I,2,0.63
140,I,3,0.64
140,D,1,0.63
140,D,2,0.64
140,D,3,0.65
81,I,1,0.58
81,I,2,0.6
81,I,3,0.59
81,D,1,0.58
81,D,2,0.59
81,D,3,0.57
