Prec159,Length 
16.47109434,3.59
10.18299748,3.88
9.756844025,4.59
10.11909308,4
10.52770189,4.5
10.53384025,4.65
10.53384025,3.58
10.53384025,3.93
17.67376855,3.43
17.95236226,3.42
18.25226415,3.44
14.07328553,3.4
13.52707925,3.99
12.50204151,4.12
16.64533868,3.86
15.97265943,3.98
15.97265943,4.01
16.43064371,4.03
16.43064371,3.86
14.52868774,3.97
18.10106835,3.1
17.1103481,3.13
15.5861956,3.91
11.28765849,4
11.28765849,4.21
11.95241195,4.5
12.31173585,3.92
12.31173585,3.92
12.31173585,4.35
15.62865696,3.34
15.50534367,3.88
20.85666572,3.76
21.39919717,3.58
21.46319403,3.24
19.79656195,2.97
7.55568805,4.19
13.6697673,3.31
13.45812327,3.92
13.34493208,3.84
11.09500126,4.08
12.06588428,4.41
12.76909057,4.3
12.76909057,3.89
14.11879623,3.91
11.21424403,3.59
11.21424403,4.01
11.21424403,3.86
11.21424403,4.36
11.21424403,3.93
11.21424403,3.67
12.21913082,3.94
11.32452453,3.57
11.32452453,3.73
11,3.81
10.78594591,3.83
10.92857987,4.48
10.92857987,3.96
10.92857987,3.9
10.92857987,4.04
10.79167421,3.97
10.79167421,3.65
10.79167421,4.51
12.60945283,3.86
12.60945283,3.66
12.60945283,3.49
12.60945283,3.94
10.60730189,4.02
10.60730189,4.13
10.52770189,3.67
10.52770189,4.36
11.70919119,4.42
11.30577044,3.96
11.94720566,4.06
11.24875283,3.77
11.57477673,4.14
11.30577044,3.72
21.23144245,3.48
20.60451792,3.81
15.97265943,3.8
12.31173585,4.14
12.31173585,4.38
14.0602327,4.03
14.39202138,3.87
14.39202138,3.6
14.11879623,4.23
18.25226415,3.82
16.47109434,3.68
18.13305063,3.47
18.13305063,3.36
15.50534367,3.6
17.1103481,3.72
18.63812975,3.82
18.63812975,3.64
18.21258481,3.77
17.42885949,3.47
17.42885949,3.92
17.16906519,4
16.43064371,3.73
14.52868774,4.16
18.35637405,3.56
18.35637405,3.91
12.76909057,4.03
9.020796226,3.91
13.84634088,3.84
13.84634088,3.46
13.6697673,3.65
13.45812327,4.24
13.45812327,3.48
13.45812327,3.88
10.68597925,3.87
10.68597925,3.76
11.09500126,3.75
9.367161635,4.48
10.49336541,4.12
12.06588428,4.18
11.47400755,3.89
11.21424403,4.05
