Year,Month,Temperature,Precipitation
First,Jan,24.18,11.34
First,Feb,24.37,5.03
First,Mar,24.88,4.26
First,Apr,24.97,5.88
First,May,25.31,28.74
First,Jun,26.21,19.7
First,Jul,25.39,22.5
First,Aug,25,23.9
First,Sep,25.71,14.69
First,Oct,25.32,9.33
First,Nov,24.67,15.76
First,Dec,24.48,7.11
Second,Jan,23.69,12.42
Second,Feb,24.87,3.71
Second,Mar,25.73,1.46
Second,Apr,25.73,8.78
Second,May,25.56,17.53
Second,Jun,25.64,17.21
Second,Jul,25.37,17.65
Second,Aug,25.52,11.77
Second,Sep,26.07,9.36
Second,Oct,25.86,16.55
Second,Nov,24.67,15.76
Second,Dec,25.19,11.46
